Song,Artist
We Can't Be Friends (Wait For Your Love),Ariana Grande
Lose Control,Teddy Swims
Beautiful Things,Benson Boone
Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
Lovin On Me,Jack Harlow
Texas Hold 'Em,Beyonce
Act II: Date @ 8,4Batz Featuring Drake
Greedy,Tate McRae
I Remember Everything,Zach Bryan Featuring Kacey Musgraves
"Yes, And?",Ariana Grande
Snooze,SZA
Agora Hills,Doja Cat
Cruel Summer,Taylor Swift
Saturn,SZA
Stick Season,Noah Kahan
The Boy Is Mine,Ariana Grande
Supernatural,Ariana Grande
Last Night,Morgan Wallen
Water,Tyla
Fast Car,Luke Combs
End Of Beginning,Djo
Redrum,21 Savage
Eternal Sunshine,Ariana Grande
Whatever She Wants,Bryson Tiller
Bye,Ariana Grande
Thinkin' Bout Me,Morgan Wallen
Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
Don't Wanna Break Up Again,Ariana Grande
Made For Me,Muni Long
True Story,Ariana Grande
Houdini,Dua Lipa
Paint The Town Red,Doja Cat
Feather,Sabrina Carpenter
Never Lose Me,Flo Milli
What Was I Made For?,Billie Eilish
Truck Bed,HARDY
Imperfect For You,Ariana Grande
Intro (End Of The World),Ariana Grande
I Wish I Hated You,Ariana Grande
Selfish,Justin Timberlake
Yeah Glo!,GloRilla
Pretty Little Poison,Warren Zeiders
Wild Ones,Jessie Murph & Jelly Roll
La Diabla,Xavi
Save Me,Jelly Roll With Lainey Wilson
Where The Wild Things Are,Luke Combs
Exes,Tate McRae
Vampire,Olivia Rodrigo
The Painter,Cody Johnson
FE!N,Travis Scott Featuring Playboi Carti
Man Made A Bar,Morgan Wallen Featuring Eric Church
23,Chayce Beckham
Burn It Down,Parker McCollum
I Can Feel It,Kane Brown
Ordinary Things,Ariana Grande Featuring Nonna
Wildflowers And Wild Horses,Lainey Wilson
Praise Jah In The Moonlight,YG Marley
Mamaw's House,Thomas Rhett Featuring Morgan Wallen
Everybody,Nicki Minaj Featuring Lil Uzi Vert
World On Fire,Nate Smith
Surround Sound,JID Featuring 21 Savage & Baby Tate
Soak City,310babii
Get In With Me,BossMan Dlow
One Of The Girls,"The Weeknd, Jennie & Lily Rose Depp"
Breathe,Yeat
You Broke My Heart,Drake
Scared To Start,Michael Marcagi
Training Season,Dua Lipa
Murder On The Dancefloor,Sophie Ellis-Bextor
One Call,Rich Amiri
FTCU,Nicki Minaj
Sensational,Chris Brown Featuring Davido & Lojay
Where It Ends,Bailey Zimmerman
Austin,Dasha
Tu Name,Fuerza Regida
La Victima,Xavi
Spin You Around (1/24),Morgan Wallen
Bandit,Don Toliver
Oklahoma Smokeshow,Zach Bryan
Mmhmm,BigXthaPlug
Harley Quinn,Fuerza Regida & Marshmello
Perro Negro,Bad Bunny & Feid
Home,Good Neighbours
Like What (Freestyle),Cardi B
Nee-nah,"21 Savage, Travis Scott & Metro Boomin"
Bellakeo,Peso Pluma & Anitta
Holy Smokes,Bailey Zimmerman
Standing Next To You,Jung Kook
Let's Go,Key Glock
Coal,Dylan Gossett
Burn,¥$: Ye & Ty Dolla $ign
Tucson Too Late,Jordan Davis
Contigo,Karol G & Tiesto
Igual Que Un Angel,Kali Uchis & Peso Pluma
My Eyes,Travis Scott
Back Then Right Now,Tyler Hubbard
Tourniquet,Zach Bryan
Outskirts,Sam Hunt
Worth It,Offset & Don Toliver
Fuk Sumn,¥$: Ye & Ty Dolla $ign
